area,sitio,arquivo_de_som,det,data,horario
Marona,Mar20,20191027_153000.WAV,0,27/10/2019,15:30:00
Marona,Mar20,20191027_154500.WAV,1,27/10/2019,15:45:00
Marona,Mar20,20191027_160000.WAV,1,27/10/2019,16:00:00
Marona,Mar20,20191027_161500.WAV,1,27/10/2019,16:15:00
Marona,Mar20,20191027_163000.WAV,1,27/10/2019,16:30:00
Marona,Mar20,20191027_164500.WAV,1,27/10/2019,16:45:00
Marona,Mar20,20191027_170000.WAV,1,27/10/2019,17:00:00
Marona,Mar20,20191027_171500.WAV,1,27/10/2019,17:15:00
Marona,Mar20,20191027_173000.WAV,1,27/10/2019,17:30:00
Marona,Mar20,20191027_174500.WAV,0,27/10/2019,17:45:00
Marona,Mar20,20191027_180000.WAV,1,27/10/2019,18:00:00
Marona,Mar20,20191027_181500.WAV,1,27/10/2019,18:15:00
Marona,Mar20,20191028_060000.WAV,1,28/10/2019,06:00:00
Marona,Mar20,20191028_061500.WAV,1,28/10/2019,06:15:00
Marona,Mar20,20191028_063000.WAV,1,28/10/2019,06:30:00
Marona,Mar20,20191028_064500.WAV,1,28/10/2019,06:45:00
Marona,Mar20,20191028_070000.WAV,1,28/10/2019,07:00:00
Marona,Mar20,20191028_071500.WAV,1,28/10/2019,07:15:00
Marona,Mar20,20191028_073000.WAV,1,28/10/2019,07:30:00
Marona,Mar20,20191028_074500.WAV,1,28/10/2019,07:45:00
Marona,Mar20,20191028_080000.WAV,1,28/10/2019,08:00:00
Marona,Mar20,20191028_081500.WAV,1,28/10/2019,08:15:00
Marona,Mar20,20191028_083000.WAV,1,28/10/2019,08:30:00
Marona,Mar20,20191028_084500.WAV,1,28/10/2019,08:45:00
Marona,Mar20,20191028_090000.WAV,1,28/10/2019,09:00:00
Marona,Mar20,20191028_091500.WAV,1,28/10/2019,09:15:00
Marona,Mar21,20191024_143000.WAV,0,24/10/2019,14:30:00
Marona,Mar21,20191024_144500.WAV,0,24/10/2019,14:45:00
Marona,Mar21,20191024_150000.WAV,0,24/10/2019,15:00:00
Marona,Mar21,20191024_151500.WAV,0,24/10/2019,15:15:00
Marona,Mar21,20191024_153000.WAV,0,24/10/2019,15:30:00
Marona,Mar21,20191024_154500.WAV,0,24/10/2019,15:45:00
Marona,Mar21,20191024_160000.WAV,0,24/10/2019,16:00:00
Marona,Mar21,20191024_161500.WAV,0,24/10/2019,16:15:00
Marona,Mar21,20191024_163000.WAV,0,24/10/2019,16:30:00
Marona,Mar21,20191024_164500.WAV,0,24/10/2019,16:45:00
Marona,Mar21,20191024_170000.WAV,0,24/10/2019,17:00:00
Marona,Mar21,20191024_171500.WAV,0,24/10/2019,17:15:00
Marona,Mar21,20191024_173000.WAV,0,24/10/2019,17:30:00
Marona,Mar21,20191024_174500.WAV,0,24/10/2019,17:45:00
Marona,Mar21,20191024_180000.WAV,0,24/10/2019,18:00:00
Marona,Mar21,20191024_181500.WAV,0,24/10/2019,18:15:00
Marona,Mar21,20191025_060000.WAV,0,25/10/2019,06:00:00
Marona,Mar21,20191025_061500.WAV,0,25/10/2019,06:15:00
Marona,Mar21,20191025_063000.WAV,0,25/10/2019,06:30:00
