sitio;arquivo_de_som;data;horario;temp;umid;veg
maro20;20191026_151500.WAV;26/10/2019;15:15:00;33.7;29.4;1787
maro20;20191026_150000.WAV;26/10/2019;15:00:00;32.6;29.6;1787
maro20;20191024_180000.WAV;24/10/2019;18:00:00;27.8;30;1787
maro20;20191026_140000.WAV;26/10/2019;14:00:00;31.1;30;1787
maro20;20191024_173000.WAV;24/10/2019;17:30:00;29.7;30.1;1787
maro20;20191024_164500.WAV;24/10/2019;16:45:00;28.9;30.3;1787
maro20;20191025_123000.WAV;25/10/2019;12:30:00;25.8;30.4;1787
maro20;20191026_144500.WAV;26/10/2019;14:45:00;32.3;30.4;1787
maro20;20191026_143000.WAV;26/10/2019;14:30:00;31.4;30.5;1787
maro20;20191025_131500.WAV;25/10/2019;13:15:00;26.4;30.8;1787
maro20;20191026_121500.WAV;26/10/2019;12:15:00;28.2;30.8;1787
maro20;20191026_154500.WAV;26/10/2019;15:45:00;33.8;31;1787
maro20;20191026_120000.WAV;26/10/2019;12:00:00;28.1;31.1;1787
maro20;20191026_153000.WAV;26/10/2019;15:30:00;32.5;31.1;1787
maro20;20191025_124500.WAV;25/10/2019;12:45:00;26.2;31.3;1787
maro20;20191026_163000.WAV;26/10/2019;16:30:00;33.5;31.3;1787
maro20;20191025_143000.WAV;25/10/2019;14:30:00;27.6;31.6;1787
maro20;20191024_161500.WAV;24/10/2019;16:15:00;27.4;31.7;1787
maro20;20191024_163000.WAV;24/10/2019;16:30:00;29.3;31.8;1787
maro20;20191025_130000.WAV;25/10/2019;13:00:00;26;32;1787
maro20;20191026_141500.WAV;26/10/2019;14:15:00;31.8;32.4;1787
maro20;20191024_141500.WAV;24/10/2019;14:15:00;27;32.7;1787
maro20;20191026_114500.WAV;26/10/2019;11:45:00;27.3;32.8;1787
maro20;20191024_151500.WAV;24/10/2019;15:15:00;28.1;32.8;1787
maro20;20191024_160000.WAV;24/10/2019;16:00:00;27.1;32.9;1787
maro20;20191025_121500.WAV;25/10/2019;12:15:00;25.3;33;1787
maro20;20191026_181500.WAV;26/10/2019;18:15:00;32.2;33.4;1787
maro20;20191025_133000.WAV;25/10/2019;13:30:00;26.9;33.8;1787
maro20;20191024_144500.WAV;24/10/2019;14:45:00;27.7;34.1;1787
maro20;20191024_153000.WAV;24/10/2019;15:30:00;27.4;34.2;1787
maro20;20191024_140000.WAV;24/10/2019;14:00:00;27.3;34.6;1787
maro20;20191025_113000.WAV;25/10/2019;11:30:00;24.6;35;1787
maro20;20191024_143000.WAV;24/10/2019;14:30:00;27.5;35.1;1787
maro20;20191025_120000.WAV;25/10/2019;12:00:00;25.2;35.3;1787
maro20;20191026_113000.WAV;26/10/2019;11:30:00;27.1;35.4;1787
maro20;20191025_114500.WAV;25/10/2019;11:45:00;25.1;35.5;1787
maro20;20191024_150000.WAV;24/10/2019;15:00:00;27.8;36;1787
maro20;20191024_134500.WAV;24/10/2019;13:45:00;26.2;36.7;1787
maro20;20191025_111500.WAV;25/10/2019;11:15:00;24.2;37.1;1787
maro20;20191026_111500.WAV;26/10/2019;11:15:00;26.8;37.3;1787
maro20;20191024_154500.WAV;24/10/2019;15:45:00;27.2;38.5;1787
maro20;20191025_110000.WAV;25/10/2019;11:00:00;24;38.9;1787
maro20;20191026_110000.WAV;26/10/2019;11:00:00;26.1;38.9;1787
